fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,long_diff,lat_diff,year,month,day,hour,weekday,time_of_day,distance,cost_per_km,Country,State,City,Area,max_temp,min_temp,precipitation,snow
12.9,-74.005043,40.74077,-73.962565,40.772647,1,0.0424780000000026,0.0318770000000014,2009,8,24,21,0,night,5039.602684044266,2.5597255991712005,United States,New York,New York,Manhattan,27.8,20.6,0.0,0.0
6.5,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1,0.0141983032226562,0.0171470642089985,2015,5,22,17,4,evening rush hour,2250.360768444741,2.888425754281279,United States,New York,New York,Manhattan,23.3,12.8,0.0,0.0
6.9,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1,0.0048950000000189,0.011181999999998,2010,4,6,22,1,night,1308.73608461588,5.272262361456306,United States,New York,New York,Manhattan,25.6,14.4,0.0,0.0
4.9,-73.988908,40.756982,-73.981246,40.76005,1,0.0076619999999962,0.0030679999999989,2011,9,1,9,3,morning rush hour,731.2133686589251,6.701190391235322,United States,New York,New York,Manhattan,28.3,18.9,0.0,0.0
10.5,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2,0.027834999999996,0.0082000000000022,2011,3,19,23,5,clubbing,2521.0933890913684,4.164859598392078,United States,New York,New York,Manhattan,15.0,3.3,0.0,0.0
12.0,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1,0.0119247436523579,0.0133285522460937,2015,3,25,8,2,morning rush hour,1790.1528525644335,6.7033381997574875,United States,New York,New York,Manhattan,9.4,1.1,1.3,0.0
4.9,-73.992075,40.719633,-73.985323,40.727405,1,0.0067520000000058,0.0077719999999956,2009,8,8,0,5,clubbing,1034.5529350832423,4.736345366035558,United States,New York,New York,Manhattan,25.6,17.2,0.0,0.0
10.5,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1,0.0234099999999983,0.0136770000000012,2014,2,18,14,1,afternoon,2493.014083354037,4.2117692275021446,United States,New York,New York,Manhattan,3.9,-3.2,4.1,38.0
5.0,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2,0.0019073486328267,0.0085067749023437,2015,3,3,23,1,clubbing,958.310478339454,5.217515735259333,United States,New York,New York,Manhattan,2.8,-5.5,17.0,46.0
7.7,-73.9943,40.739512,-73.98807,40.724482,2,0.0062300000000021,0.0150299999999958,2010,9,4,16,5,evening rush hour,1750.0684549215246,4.399827891501123,United States,New York,New York,Manhattan,27.2,17.8,0.0,0.0
